META; english/league-1/bolton-v-chesterfield; 2017-03-26 04:21:04 GMT+2; 2017-04-01 15:00; e70300-dr003
Bolton; ; 4/9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw; ; 16/5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chesterfield; ; 11/2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bolton-v-chesterfield; 2017-03-26 08:21:17 GMT+2; 2017-03-25 19:00; e70300-dr003
CA Penapolense; 5/4; 5/4; 11/8; 6/5; ; 1; 7/5; ; 13/10; 6/4; ; ; 13/10; ; ; ; 23/17; 21/20; 5/4; 23/17; ; ; 5/4; ; 5/4; ; 11/8; ; 
Lausanne; 6/4; 11/8; 11/8; ; 7/5; 27/20; 11/8; 7/5; 13/10; 7/5; 27/20; 11/8; 7/5; ; 7/5; 11/8; 23/17; 7/5; 27/20; 23/17; 29/20; 39/29; 23/17; 7/5; 7/5; ; 13/10; 5/4; 7/5
Grasshoppers; 17/10; 17/10; 7/4; ; 9/5; 17/10; 15/8; 13/8; 13/8; 9/5; 17/10; 7/4; 7/4; ; 17/10; 7/4; 7/4; 8/5; 17/10; 7/4; 191/100; 18/11; 17/10; 17/10; 7/4; ; 7/4; 7/4; 19/10
Draw; 12/5; 23/10; 49/20; ; 5/2; 23/10; 5/2; 12/5; 23/10; 5/2; 12/5; 23/10; 5/2; ; 5/2; 12/5; 12/5; 23/10; 12/5; 12/5; 53/20; 12/5; 27/11; 12/5; 28/11; ; 23/10; 12/5; 13/5
META; english/league-1/bolton-v-chesterfield; 2017-04-01 20:19:10 GMT+3; ; e70300-dr003
Bolton; 1/5000; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Fleetwood; 1/66; 1/50; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; ; ; 1/100; ; ; 1/100; 1/100; ; 1/100; ; 1/50; ; 
Scunthorpe; 1/10; 1/10; ; ; ; ; 1/9; ; ; ; ; ; ; ; 1/8; ; ; ; 1/10; ; 2/15; 1/10; 1/10; ; 1/10; ; 1/12; ; 
Bradford; 1/5; 1/5; ; ; ; ; 1/5; ; ; ; ; ; ; ; 1/5; ; ; ; 1/5; ; 1/5; 1/5; 1/5; ; 1/5; ; 2/11; ; 
Southend; 4/9; 2/5; ; ; ; ; 2/5; ; ; ; ; ; ; ; 2/5; ; ; ; 4/9; ; 9/20; 2/5; 4/9; ; 4/9; ; 2/9; ; 
Millwall; 7/4; 5/4; ; ; ; ; 5/4; ; ; ; ; ; ; ; 11/10; ; ; ; 7/4; ; 13/10; 6/5; 7/4; ; 7/4; ; 7/5; ; 
Rochdale; 6; 6; ; ; ; ; 5; ; ; ; ; ; ; ; 5; ; ; ; 11/2; ; 6; 11/2; 11/2; ; 11/2; ; 34/5; ; 
Oxford; 6; 13/2; ; ; ; ; 6; ; ; ; ; ; ; ; 13/2; ; ; ; 6; ; 6; 6; 6; ; 6; ; 29/5; ; 
Bristol Rovers; 33; 22; ; ; ; ; 25; ; ; ; ; ; ; ; 22; ; ; ; 33; ; 25; 25; 33; ; 33; ; 27; ; 
Walsall; 66; 100; ; ; ; ; 66; ; ; ; ; ; ; ; 100; ; ; ; 66; ; 66; 66; 66; ; 66; ; 57/5; ; 
Peterborough; 100; 150; ; ; ; ; 100; ; ; ; ; ; ; ; 150; ; ; ; 100; ; 100; 100; 100; ; 100; ; 66/5; ; 
AFC Wimbledon; 125; 200; ; ; ; ; 100; ; ; ; ; ; ; ; 200; ; ; ; 150; ; 100; 100; 150; ; 150; ; 52/5; ; 
MK Dons; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Oldham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Port Vale; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Shrewsbury; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 1/50; ; 
Gillingham; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 19/10; ; 
Charlton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 14/5; ; 
Northampton; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 52/5; ; 
META; english/league-1/bolton-v-chesterfield; 2017-04-02 16:23:13 GMT+3; 2017-04-01 15:00; e70300-dr003
Draw 1-1; 11/2; 5; 11/2; 6; 11/2; 11/2; 6; 11/2; 21/4; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 11/2; 25/4; 11/2; 6; 25/4; ; 51/10; 6; ; 6; ; ; 28/5; 
Torquay 1-0; 7; 13/2; 7; 7; 13/2; 13/2; 15/2; 7; 7; 7; 7; 7; 13/2; 7; 13/2; 13/2; 29/4; 7; 15/2; 29/4; ; 13/2; 15/2; ; 15/2; ; ; 32/5; 
Torquay 2-1; 15/2; 15/2; 15/2; 15/2; 15/2; 15/2; 8; 15/2; 15/2; 15/2; 15/2; 15/2; 15/2; 15/2; 15/2; 7; 33/4; 8; 8; 33/4; ; 37/5; 8; ; 8; ; ; 15/2; 
Draw 0-0; 10; 10; 10; 10; 10; 10; 15/2; 15/2; 10; 10; 10; 10; 7; 10; 9; 17/2; 8; 7; 17/2; 8; ; 10; 17/2; ; 17/2; ; ; 48/5; 
Torquay 2-0; 9; 17/2; 9; 10; 9; 9; 19/2; 9; 9; 9; 9; 9; 9; 9; 9; 17/2; 19/2; 10; 10; 19/2; ; 87/10; 10; ; 10; ; ; 48/5; 
Chester 1-0; 10; 9; 10; 10; 10; 9; 21/2; 10; 9; 9; 10; 9; 10; 10; 9; 9; 10; 9; 21/2; 10; ; 9; 21/2; ; 21/2; ; ; 48/5; 
Chester 2-1; 11; 11; 11; 11; 11; 10; 12; 11; 11; 10; 11; 10; 10; 11; 10; 10; 45/4; 21/2; 11; 45/4; ; 10; 11; ; 11; ; ; 56/5; 
Draw 2-2; 12; 12; 12; 14; 12; 14; 13; 12; 12; 12; 12; 12; 12; 12; 11; 12; 29/2; 25/2; 13; 29/2; ; 12; 13; ; 13; ; ; 13; 
Torquay 3-1; 14; 14; 15; 16; 14; 16; 15; 16; 14; 14; 14; 14; 16; 14; 12; 14; 16; 15; 16; 16; ; 15; 16; ; 16; ; ; 16; 
Chester 2-0; 18; 18; 17; 18; 16; 16; 19; 18; 16; 16; 18; 16; 16; 18; 14; 16; 17; 16; 17; 17; ; 16; 17; ; 17; ; ; 92/5; 
Torquay 3-0; 18; 16; 17; 18; 18; 18; 19; 19; 16; 18; 18; 18; 20; 18; 14; 16; 71/4; 37/2; 17; 71/4; ; 18; 17; ; 17; ; ; 92/5; 
Torquay 3-2; 25; 28; 22; 25; 22; 28; 25; 22; 28; 22; 22; 22; 25; 22; 20; 22; 101/4; 25; 24; 101/4; ; 25; 24; ; 24; ; ; 24; 
Chester 3-1; 28; 28; 25; 28; 25; 28; 30; 25; 28; 25; 28; 25; 25; 25; 22; 25; 53/2; 25; 26; 53/2; ; 25; 26; ; 26; ; ; 35; 
Any Other Score; ; ; 25; ; ; ; ; 25; 33; ; ; ; ; ; ; ; ; 22; ; ; ; 25; ; ; ; ; ; ; 
Chester 3-2; 33; 40; 28; 33; 28; 33; 35; 33; 33; 28; 33; 28; 30; 28; 25; 28; 65/2; 30; 33; 65/2; ; 35; 33; ; 33; ; ; 40; 
Torquay 4-1; 33; 40; 33; 33; 33; 40; 35; 40; 40; 33; 33; 33; 45; 28; 28; 33; 35; 35; 34; 35; ; 40; 34; ; 34; ; ; ; 
Chester 3-0; 40; 40; 40; 40; 40; 40; 50; 45; 40; 40; 45; 40; 45; 40; 33; 40; 145/4; 35; 36; 145/4; ; 40; 36; ; 36; ; ; 61; 
Torquay 4-0; 40; 40; 35; 40; 40; 40; 45; 50; 40; 40; 40; 40; 55; 35; 33; 33; 75/2; 50; 38; 75/2; ; 45; 38; ; 38; ; ; ; 
Draw 3-3; 40; 50; 45; 66; 50; 66; 55; 55; 50; 50; 50; 50; 55; 40; 40; 40; 101/2; 50; 55; 101/2; ; 60; 55; ; 55; ; ; 65; 
Torquay 4-2; 50; 50; 45; 66; 50; 66; 60; 60; 66; 50; 55; 50; 60; 45; 50; 50; 101/2; 66; 55; 101/2; ; 60; 55; ; 55; ; ; ; 
Chester 4-1; 66; 80; 66; 80; 66; 80; 75; 100; 100; 75; 70; 66; 60; 90; 66; 66; 241/4; 66; 66; 241/4; ; 80; 66; ; 66; ; ; ; 
Chester 4-2; 66; 80; 75; 80; 80; 100; 90; 100; 100; 90; 80; 80; 75; 100; 80; 66; 275/4; 100; 90; 275/4; ; 110; 90; ; 90; ; ; ; 
Torquay 5-1; 66; 80; ; 100; 80; 100; 90; 125; 100; 90; 80; 80; 125; 100; 80; 66; 275/4; ; 90; 275/4; ; ; 90; ; 90; ; ; ; 
Torquay 4-3; 80; 150; 90; 100; 100; 150; 110; 100; ; 100; 90; 80; 100; 100; 80; 80; 313/4; 150; 125; 313/4; ; 150; 125; ; 125; ; ; ; 
Torquay 5-0; 80; 100; ; 125; 100; 125; 110; 150; 100; 100; 90; 80; 125; 100; 80; 80; 289/4; ; 100; 289/4; ; ; 100; ; 100; ; ; ; 
Chester 4-0; 80; 100; 95; 100; 80; 125; 110; 175; 100; 100; 100; 100; 90; 100; 80; 80; 147/2; 125; 90; 147/2; ; 120; 90; ; 90; ; ; ; 
Torquay 5-2; 100; 150; ; 150; ; 150; 110; 175; ; 125; 100; 100; 150; 150; 100; 100; 337/4; ; 140; 337/4; ; ; 140; ; 140; ; ; ; 
Chester 4-3; 125; 150; 110; 125; ; 200; 110; 175; ; 125; 100; 100; 125; 150; 100; 100; 347/4; 200; 160; 347/4; ; 180; 160; ; 160; ; ; ; 
Chester 6-3; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay 7-2; ; ; ; ; ; ; ; ; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Draw 4-4; 250; 250; 200; 200; ; ; 175; 325; ; 225; 150; 150; 175; 250; 200; 150; ; 250; 350; ; ; 200; 350; ; 350; ; ; ; 
Torquay 5-3; 250; 250; ; ; ; ; 175; 325; ; 225; 150; 150; 175; 250; 250; 150; ; ; 350; ; ; ; 350; ; 350; ; ; ; 
Torquay 6-2; 350; 250; ; 300; ; ; 175; ; ; 275; 150; ; 200; 300; ; 150; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay 6-3; ; ; ; ; ; ; ; ; ; 400; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester 5-1; 200; 250; ; 250; ; ; 175; 425; 100; 200; 150; 150; 150; 250; 250; 150; ; ; 225; ; ; ; 225; ; 225; ; ; ; 
Chester 5-2; 250; 250; ; 250; ; ; 175; 425; ; 225; 150; 150; 175; 250; 250; 150; ; ; 275; ; ; ; 275; ; 275; ; ; ; 
Torquay 6-1; 200; 250; ; 250; ; ; 175; 425; ; 200; 150; 150; 175; 250; 250; 150; ; ; 275; ; ; ; 275; ; 275; ; ; ; 
Chester 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester 5-0; 300; 250; ; 300; ; ; 175; 500; 100; 250; 150; 150; 175; 300; ; 200; ; ; 300; ; ; ; 300; ; 300; ; ; ; 
Chester 5-3; 450; 250; ; ; ; ; 175; 500; ; 300; 150; ; 175; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester 5-4; ; ; ; ; ; ; ; 500; ; 425; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester 6-0; ; 250; ; 500; ; ; 225; 500; 100; ; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester 6-1; ; 250; ; 500; ; ; 225; 500; ; 425; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester 6-2; ; 250; ; 500; ; ; 225; ; ; 475; 200; ; 200; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester 7-0; ; ; ; ; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester 7-1; ; ; ; ; ; ; 225; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Chester 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay 10-0; ; ; ; ; ; ; ; 500; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay 5-4; ; ; ; ; ; ; ; 500; ; 375; 200; ; 200; 300; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay 6-0; 250; 250; ; 250; ; ; 175; 500; 100; 225; 150; 150; 200; 250; ; 150; ; ; 325; ; ; ; 325; ; 325; ; ; ; 
Torquay 7-0; ; ; ; 500; ; ; 225; 500; ; 450; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay 7-1; ; ; ; 500; ; ; 225; 500; ; 425; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay 8-0; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay 8-1; ; ; ; ; ; ; ; 500; ; ; 200; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Torquay 9-0; ; ; ; ; ; ; ; 500; ; ; 200; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
META; english/league-1/bolton-v-chesterfield; 2017-04-03 00:23:20 GMT+3; 2017-04-02 15:45; e70300-dr003
Twente; 9/20; 4/9; 8/15; 4/9; 9/20; 4/9; 1/2; 4/9; 1/2; 10/21; 4/9; 4/9; 12/25; 1/2; 1/2; 4/9; 7/15; 1/2; 4/9; 7/15; 23/50; 4/9; 6/13; 4/9; 7/15; ; 4/9; 4/9; 1/2
Draw; 7/2; 7/2; 7/2; 10/3; 7/2; 16/5; 7/2; 10/3; 10/3; 10/3; 7/2; 10/3; 10/3; 16/5; 16/5; 7/2; 17/5; 13/4; 3; 17/5; 77/20; 57/17; 33/10; 10/3; 57/17; ; 7/2; 3; 7/2
Go Ahead Eagles; 11/2; 11/2; 11/2; 5; 6; 19/4; 11/2; 11/2; 21/4; 11/2; 11/2; 11/2; 6; 11/2; 5; 11/2; 61/11; 5; 6; 61/11; 63/10; 47/10; 6; 5; 6; ; 6; 28/5; 29/5
